name,location,start_date,end_date,surface,indoor_outdoor,winner,results_url,source,source_page
Nordea Open,"Bastad, Sweden",14,"July 20, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/bastad/316/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Plava Laguna Croatia Open Umag,"Umag, Croatia",20,"July 26, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/umag/439/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Mubadala Citi DC Open,"Washington, United States",21,"July 27, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/washington/418/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Generali Open,"Kitzbuhel, Austria",21,"July 26, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/kitzbuhel/319/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
National Bank Open Presented by Rogers,"Toronto, Canada",27 July,"August 7, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/toronto/421/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Cincinnati Open,"Cincinnati, United States",7,"August 18, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/cincinnati/422/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Winston-Salem Open,"Winston-Salem, United States",17,"August 23, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/winston-salem/6242/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
US Open,"New York, United States",24 August,"September 7, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/us-open/560/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Davis Cup Qualifiers 2nd Rd,Multiple Locations,12,"September 14, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/davis-cup-qualifiers-2nd-rd/8097/2025/country-draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Chengdu Open,"Chengdu, China",17,"September 23, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/chengdu/7581/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Lynk & Co Hangzhou Open,"Hangzhou, China",17,"September 23, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/hangzhou/4713/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Laver Cup,"San Francisco, United States",19,"September 21, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/laver-cup/9210/2025/country-draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Kinoshita Group Japan Open Tennis Championships,"Tokyo, Japan",24,"September 30, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/tokyo/329/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
China Open,"Beijing, China",25 September,"October 1, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/beijing/747/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Rolex Shanghai Masters,"Shanghai, China",1,"October 12, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/shanghai/5014/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Almaty Open,"Almaty, Kazakhstan",13,"October 19, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/almaty/9410/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
BNP Paribas Fortis European Open,"Brussels, Belgium",13,"October 19, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/brussels/7485/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
BNP Paribas Nordic Open,"Stockholm, Sweden",13,"October 19, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/stockholm/429/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Erste Bank Open,"Vienna, Austria",20,"October 26, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/vienna/337/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Swiss Indoors Basel,"Basel, Switzerland",20,"October 26, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/basel/328/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Rolex Paris Masters,"Paris, France",27 October,"November 2, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/paris/352/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Vanda Pharmaceuticals Hellenic Championship,"Athens, Greece",2,"November 8, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/current/athens/5100/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Moselle Open,"Metz, France",2,"November 8, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/current/metz/341/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Nitto ATP Finals,"Turin, Italy",9,"November 16, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/current/nitto-atp-finals/605/players-draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Davis Cup Finals,"Bologna, Italy",18,"November 23, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/current/davis-cup-finals/8099/country-results,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Next Gen ATP Finals presented by PIF,"Jeddah, Saudi Arabia",17,"December 21, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/current/next-gen-atp-finals/7696/players-draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
